 Vertin: "司辰"
 tot_Yakishio_Remon_trait: ""
 tot_Yakishio_Remon_trait_desc: ""

 Chika: "小鞠"
 Komari: "知花"
 tot_Komari_Chika_trait: ""
 tot_Komari_Chika_trait_desc: ""

 Kaju: "温水"
 Nukumizu: "佳树"
 tot_Nukumizu_Kaju_trait: ""
 tot_Nukumizu_Kaju_trait_desc: ""

 Koto: "月之木"
 Tsukinoki: "古都"
 tot_Tsukinoki_Koto_trait: ""
 tot_Tsukinoki_Koto_trait_desc: ""

 Hibari: "放虎原"
 Hokobaru: "云雀"
 tot_Hokobaru_Hibari_trait: ""
 tot_Hokobaru_Hibari_trait_desc: ""

 Yumeko: "志喜屋"
 Shikiya: "梦子"
 tot_Shikiya_Yumeko_trait: ""
 tot_Shikiya_Yumeko_trait_desc: ""

 Sora: "春日"
 Kasugano: "野穹"
 tot_Kasugano_Sora_trait: ""
 tot_Kasugano_Sora_trait_desc: ""

 Kirino: "高坂"
 Kosaka: "桐乃"
 tot_Kosaka_Kirino_trait: ""
 tot_Kosaka_Kirino_trait_desc: ""

 Sagiri: "和泉"
 Izumi: "纱雾"
 tot_Izumi_Sagiri_trait: ""
 tot_Izumi_Sagiri_trait_desc: ""

 Shiro: "艾尔奇亚"
 Eliza: "白"
 tot_Eliza_Shiro_trait: ""
 tot_Eliza_Shiro_trait_desc: ""

 Umaru: "土间"
 Doma: "埋"
 tot_Doma_Umaru_trait: ""
 tot_Doma_Umaru_trait_desc: ""

 Nana: "海老名"
 Ebina: "菜菜"
 tot_Ebina_Nana_trait: ""
 tot_Ebina_Nana_trait_desc: ""

 Ruri: "五更"
 Gokou: "琉璃"
 tot_Gokou_Ruri_trait: ""
 tot_Gokou_Ruri_trait_desc: ""

 Granger: "山田"
 Emily: "妖精"
 tot_Emily_Granger_trait: ""
 tot_Emily_Granger_trait_desc: ""

 Chika: "高海"
 Takami: "千歌"
 tot_Takami_Chika_trait: ""
 tot_Takami_Chika_trait_desc: ""

 Riko: "樱内"
 Sakurauchi_: "莉子"
 tot_Sakurauchi_Riko_trait: ""
 tot_Sakurauchi_Riko_trait_desc: ""

 Dia: "黑泽"
 Kurosawa: "黛雅"
 tot_Kurosawa_Dia_trait: ""
 tot_Kurosawa_Dia_trait_desc: ""

 You: "渡边"
 Watanabe_: "曜"
 tot_Watanabe_You_trait: ""
 tot_Watanabe_You_trait_desc: ""

 Yoshiko: "津岛"
 Tsushima_: "善子"
 tot_Tsushima_Yoshiko_trait: ""
 tot_Tsushima_Yoshiko_trait_desc: ""

 Rubi: "黑泽"
 Kurosawa_: "露比"
 tot_Kurosawa_Rubi_trait: ""
 tot_Kurosawa_Rubi_trait_desc: ""

 Mari: "小原"
 Ohara: "鞠莉"
 tot_Ohara_Mari_trait: ""
 tot_Ohara_Mari_trait_desc: ""

 Kanan: "松浦"
 Matsuura: "果南"
 tot_Matsuura_Kanan_trait: ""
 tot_Matsuura_Kanan_trait_desc: ""

 Hanamaru: "国木田"
 Kunikida_: "花丸"
 tot_Kunikida_Hanamaru_trait: ""
 tot_Kunikida_Hanamaru_trait_desc: ""

 Sarah: "鹿角"
 Kazuno_: "圣良"
 tot_Kazuno_Sarah_trait: ""
 tot_Kazuno_Sarah_trait_desc: ""

 ayumu: "上原"
 uehara: "步梦"
 tot_uehara_ayumu_trait: ""
 tot_uehara_ayumu_trait_desc: ""

 Setsuna: "优木"
 Yuki: "雪菜"
 tot_Yuki_Setsuna_trait: ""
 tot_Yuki_Setsuna_trait_desc: ""

 Kasumi: "中须"
 Nakasu: "霞"
 tot_Nakasu_Kasumi_trait: ""
 tot_Nakasu_Kasumi_trait_desc: ""

 Verde: "艾玛"
 Emma: "维尔德"
 tot_Emma_Verde_trait: ""
 tot_Emma_Verde_trait_desc: ""

 Ai: "宫下"
 Miyashita: "爱"
 tot_Miyashita_Ai_trait: ""
 tot_Miyashita_Ai_trait_desc: ""

 Karin: "朝香"
 Asaka: "果林"
 tot_Asaka_Karin_trait: ""
 tot_Asaka_Karin_trait_desc: ""

 Shizuku: "樱坂"
 Osaka: "雫"
 tot_Osaka_Shizuku_trait: ""
 tot_Osaka_Shizuku_trait_desc: ""

 Kanata: "近江"
 Konoe: "彼方"
 tot_Konoe_Kanata_trait: ""
 tot_Konoe_Kanata_trait_desc: ""

 Rina: "天王寺"
 Tennoji: "璃奈"
 tot_Tennoji_Rina_trait: ""
 tot_Tennoji_Rina_trait_desc: ""

_Yu: "高咲"
 Takasaki: "侑"
 tot_Takasaki_ Yu_trait: ""
 tot_Takasaki_ Yu_trait_desc: ""

 Serina: "鹫见"
 Sumi: "芹奈"
 tot_Sumi_Serina_trait: ""
 tot_Sumi_Serina_trait_desc: ""

 Hanae: "朝颜"
 Asagao: "花绘"
 tot_Asagao_Hanae_trait: ""
 tot_Asagao_Hanae_trait_desc: ""

 Mine: "苍森"
 Aomori: "美弥"
 tot_Aomori_Mine_trait: ""
 tot_Aomori_Mine_trait_desc: ""

 Mari: "伊落"
 Iochi: "玛丽"
 tot_Iochi_Mari_trait: ""
 tot_Iochi_Mari_trait_desc: ""

 Hinata: "若叶"
 Wakaba: "日向"
 tot_Wakaba_Hinata_trait: ""
 tot_Wakaba_Hinata_trait_desc: ""

 Sakurako: "歌住"
 Utazumi: "樱子"
 tot_Utazumi_Sakurako_trait: ""
 tot_Utazumi_Sakurako_trait_desc: ""

 Akihiko: "茅场"
 Kayaba: "晶彦"
 tot_Kayaba_Akihiko_trait: ""
 tot_Kayaba_Akihiko_trait_desc: ""

 Kazuto: "桐谷"
 Kirigaya: "和人"
 tot_Kirigaya_Kazuto_trait: ""
 tot_Kirigaya_Kazuto_trait_desc: ""

 Asuna: "闪光的"
 Yuuki: "亚丝娜"
 tot_Yuuki_Asuna_trait: ""
 tot_Yuuki_Asuna_trait_desc: ""

 Yui: "MHCP"
 MHCP: "结衣"
 tot_MHCP_Yui_trait: ""
 tot_MHCP_Yui_trait_desc: ""

 Rika: "篠崎"
 Shinozaki: "里香"
 tot_Shinozaki_Rika_trait: ""
 tot_Shinozaki_Rika_trait_desc: ""

 ryotaro: "壶井"
 Tsuboi: "辽太郎"
 tot_Tsuboi_ryotaro_trait: ""
 tot_Tsuboi_ryotaro_trait_desc: ""

 Suguha: "桐谷"
 Kirigaya: "直叶"
 tot_Kirigaya_Suguha_trait: ""
 tot_Kirigaya_Suguha_trait_desc: ""

 Zuberg: "爱丽丝"
 Alice: "滋贝鲁库"
 tot_Alice_Zuberg_trait: ""
 tot_Alice_Zuberg_trait_desc: ""

 Shino: "朝田"
 Asada: "诗乃"
 tot_Asada_Shino_trait: ""
 tot_Asada_Shino_trait_desc: ""

 Mills: "安德鲁·基尔巴特"
 Andrew_Gilbert: "米尔斯"
 tot_Andrew_Gilbert_Mills_trait: ""
 tot_Andrew_Gilbert_Mills_trait_desc: ""

 Kotaro: "巽幸"
 Tatsumi: "太郎"
 tot_Tatsumi_Kotaro_trait: ""
 tot_Tatsumi_Kotaro_trait_desc: ""

 Sakura: "源"
 Minamoto: "樱"
 tot_Minamoto_Sakura_trait: ""
 tot_Minamoto_Sakura_trait_desc: ""

 Saki: "二阶堂"
 Nikaido: "咲"
 tot_Nikaido_Saki_trait: ""
 tot_Nikaido_Saki_trait_desc: ""

 Ai: "水野"
 Mizuno: "爱"
 tot_Mizuno_Ai_trait: ""
 tot_Mizuno_Ai_trait_desc: ""

 Junko: "绀野"
 Konno: "纯子"
 tot_Konno_Junko_trait: ""
 tot_Konno_Junko_trait_desc: ""

 Giri: "夕"
 Yu: "雾"
 tot_Yu_Giri_trait: ""
 tot_Yu_Giri_trait_desc: ""

 Lily: "星川"
 Hoshikawa: "莉莉"
 tot_Hoshikawa_Lily_trait: ""
 tot_Hoshikawa_Lily_trait_desc: ""

 Tae: "山田"
 Yamada: "多惠"
 tot_Yamada_Tae_trait: ""
 tot_Yamada_Tae_trait_desc: ""

 Aya: "丸山"
 Maruyama: "彩"
 tot_Maruyama_Aya_trait: ""
 tot_Maruyama_Aya_trait_desc: ""

 Hina: "冰川"
 Hikawa: "日菜"
 tot_Hikawa_Hina_trait: ""
 tot_Hikawa_Hina_trait_desc: ""

 Maya: "大和"
 Yamato: "麻弥"
 tot_Yamato_Maya_trait: ""
 tot_Yamato_Maya_trait_desc: ""

 Eve: "若宫"
 Wakamiya: "伊芙"
 tot_Wakamiya_Eve_trait: ""
 tot_Wakamiya_Eve_trait_desc: ""

 Chisato: "白鹭"
 Shirasagi: "千圣"
 tot_Shirasagi_Chisato_trait: ""
 tot_Shirasagi_Chisato_trait_desc: ""

 Yukina: "凑"
 Minato: "友希那"
 tot_Minato_Yukina_trait: ""
 tot_Minato_Yukina_trait_desc: ""

 Ako: "宇田川"
 Udagawa: "亚子"
 tot_Udagawa_Ako_trait: ""
 tot_Udagawa_Ako_trait_desc: ""

 Sayo: "冰川"
 Hikawa: "纱夜"
 tot_Hikawa_Sayo_trait: ""
 tot_Hikawa_Sayo_trait_desc: ""

 Rinko: "白金"
 Shirokane: "燐子"
 tot_Shirokane_Rinko_trait: ""
 tot_Shirokane_Rinko_trait_desc: ""

 Lisa: "今井"
 Imai: "莉莎
"
 tot_Imai_Lisa_trait: ""
 tot_Imai_Lisa_trait_desc: ""

 Rei: "和奏"
 Wakana: "瑞依"
 tot_Wakana_Rei_trait: ""
 tot_Wakana_Rei_trait_desc: ""

 Masuki: "佐藤"
 Sato: "益木"
 tot_Sato_Masuki_trait: ""
 tot_Sato_Masuki_trait_desc: ""

 Reona: "鳰原令"
 Nyubara: "王那"
 tot_Nyubara_Reona_trait: ""
 tot_Nyubara_Reona_trait_desc: ""

 Rokka: "朝日"
 Asahi: "六花"
 tot_Asahi_Rokka_trait: ""
 tot_Asahi_Rokka_trait_desc: ""

 Chiyu: "珠手"
 Tamade: "知由"
 tot_Tamade_Chiyu_trait: ""
 tot_Tamade_Chiyu_trait_desc: ""

 Mashiro: "仓田"
 Kurata: "真白"
 tot_Kurata_Mashiro_trait: ""
 tot_Kurata_Mashiro_trait_desc: ""

 Nanami: "广町"
 Hiromachi: "七深"
 tot_Hiromachi_Nanami_trait: ""
 tot_Hiromachi_Nanami_trait_desc: ""

 Tsukushi: "二叶"
 Futaba: "筑紫"
 tot_Futaba_Tsukushi_trait: ""
 tot_Futaba_Tsukushi_trait_desc: ""

 Rui: "八潮"
 Yashio: "瑠唯"
 tot_Yashio_Rui_trait: ""
 tot_Yashio_Rui_trait_desc: ""

 Toko: "桐谷"
 Kirigaya: "透子"
 tot_Kirigaya_Toko_trait: ""
 tot_Kirigaya_Toko_trait_desc: ""

 Yoshika: "宫藤"
 Miyafuji: "芳佳"
 tot_Miyafuji_Yoshika_trait: ""
 tot_Miyafuji_Yoshika_trait_desc: ""

 Mio: "坂本"
 Sakamoto: "美绪"
 tot_Sakamoto_Mio_trait: ""
 tot_Sakamoto_Mio_trait_desc: ""

 Lynette: "毕晓普"
 Bishop: "莉涅特"
 tot_Bishop_Lynette_trait: ""
 tot_Bishop_Lynette_trait_desc: ""

 Perrine: "H·克洛斯特曼"
 H_Clostermann: "佩琳"
 tot_H_Clostermann_Perrine_trait: ""
 tot_H_Clostermann_Perrine_trait_desc: ""

 Charlotte: "E·叶格"
 E_Yeager: "夏洛特"
 tot_E_Yeager_Charlotte_trait: ""
 tot_E_Yeager_Charlotte_trait_desc: ""

 Francesca: "鲁奇尼"
 Lucchini: "弗兰西斯卡"
 tot_Lucchini_Francesca_trait: ""
 tot_Lucchini_Francesca_trait_desc: ""

 Shizuka: "服部"
 Hattori: "静夏"
 tot_Hattori_Shizuka_trait: ""
 tot_Hattori_Shizuka_trait_desc: ""

 Sanya: "V·利特维亚克"
 V_Litvyak: "萨妮娅"
 tot_V_Litvyak_Sanya_trait: ""
 tot_V_Litvyak_Sanya_trait_desc: ""

 Eila: "伊尔玛塔尔·尤蒂莱南"
_Ilmatar_Juutilainen: "艾拉"
 tot_ Ilmatar_Juutilainen_Eila_trait: ""
 tot_ Ilmatar_Juutilainen_Eila_trait_desc: ""

 Minna: "迪特林德·威尔克"
 Dietlinde_Wilcke: "明娜"
 tot_Dietlinde_Wilcke_Minna_trait: ""
 tot_Dietlinde_Wilcke_Minna_trait_desc: ""

 Erica: "哈特曼"
 Hartmann: "艾莉卡"
 tot_Hartmann_Erica_trait: ""
 tot_Hartmann_Erica_trait_desc: ""

 Gertrud: "巴克霍隆"
 Barkhorn: "歌尔特露特"
 tot_Barkhorn_Gertrud_trait: ""
 tot_Barkhorn_Gertrud_trait_desc: ""

 Natsuki: "斑鸠"
 Ikaruga: "夏生"
 tot_Ikaruga_Natsuki_trait: ""
 tot_Ikaruga_Natsuki_trait_desc: ""

 Atori: "斑鸠"
 Ikaruga: "亚托莉"
 tot_Ikaruga_Atori_trait: ""
 tot_Ikaruga_Atori_trait_desc: ""

_Minamo: "神白"
 Kamishiro: "水菜萌"
 tot_Kamishiro_ Minamo_trait: ""
 tot_Kamishiro_ Minamo_trait_desc: ""

 Ryouji: "野岛"
 Nojima: "龙司"
 tot_Nojima_Ryouji_trait: ""
 tot_Nojima_Ryouji_trait_desc: ""

 Hanako: "小佐田"
 Osada: "花子"
 tot_Osada_Hanako_trait: ""
 tot_Osada_Hanako_trait_desc: ""

 Ririka: "名波"
 Nanami: "凛凛花"
 tot_Nanami_Ririka_trait: ""
 tot_Nanami_Ririka_trait_desc: ""

 Karen: "爱城"
 Aijo: "华恋"
 tot_Aijo_Karen_trait: ""
 tot_Aijo_Karen_trait_desc: ""

 Hikari: "神乐"
 Kagura: "光"
 tot_Kagura_Hikari_trait: ""
 tot_Kagura_Hikari_trait_desc: ""

 Maya: "天堂"
 Tendo: "真矢"
 tot_Tendo_Maya_trait: ""
 tot_Tendo_Maya_trait_desc: ""

 Junna: "星见"
 Hoshimi: "纯那"
 tot_Hoshimi_Junna_trait: ""
 tot_Hoshimi_Junna_trait_desc: ""

 Mahiru: "露崎"
 Tsuyuzaki: "真昼"
 tot_Tsuyuzaki_Mahiru_trait: ""
 tot_Tsuyuzaki_Mahiru_trait_desc: ""

 Nana: "大场"
 Daiba: "奈奈"
 tot_Daiba_Nana_trait: ""
 tot_Daiba_Nana_trait_desc: ""

 Claudine: "西条"
 Saijo: "克洛迪娜"
 tot_Saijo_Claudine_trait: ""
 tot_Saijo_Claudine_trait_desc: ""

 Futaba: "石动"
 Isurugi: "双叶"
 tot_Isurugi_Futaba_trait: ""
 tot_Isurugi_Futaba_trait_desc: ""

 Kaoruko: "花柳"
 Hanayagi: "香子"
 tot_Hanayagi_Kaoruko_trait: ""
 tot_Hanayagi_Kaoruko_trait_desc: ""

 Aoba: "凉风"
 Suzukaze: "青叶"
 tot_Suzukaze_Aoba_trait: ""
 tot_Suzukaze_Aoba_trait_desc: ""

 Ko: "八神"
 Yagami: "光"
 tot_Yagami_Ko_trait: ""
 tot_Yagami_Ko_trait_desc: ""

 Rin: "远山"
 Toyama: "伦"
 tot_Toyama_Rin_trait: ""
 tot_Toyama_Rin_trait_desc: ""

 Hifumi: "泷本"
 Takimono: "日富美"
 tot_Takimono_Hifumi_trait: ""
 tot_Takimono_Hifumi_trait_desc: ""

 Hajime: "篠田"
 Shinoda: "初"
 tot_Shinoda_Hajime_trait: ""
 tot_Shinoda_Hajime_trait_desc: ""

 Yun: "饭岛"
 Iizima: "结音"
 tot_Iizima_Yun_trait: ""
 tot_Iizima_Yun_trait_desc: ""

 Nene: "樱"
 Sakura: "宁宁"
 tot_Sakura_Nene_trait: ""
 tot_Sakura_Nene_trait_desc: ""

 Umiko: "阿波根"
 Ahagon: "海子"
 tot_Ahagon_Umiko_trait: ""
 tot_Ahagon_Umiko_trait_desc: ""

 Shizuku: "叶月"
 Hazuki: "雫"
 tot_Hazuki_Shizuku_trait: ""
 tot_Hazuki_Shizuku_trait_desc: ""

 Christina_Wako: "大和"
 Yamato: "克莉丝汀·和子"
 tot_Yamato_Christina_Wako_trait: ""
 tot_Yamato_Christina_Wako_trait_desc: ""

 Asuko: "卡嘉莉"
 Kagari: "亚可"
 tot_Kagari_Asuko_trait: ""
 tot_Kagari_Asuko_trait_desc: ""

 Lotte: "杨森"
 Jansson: "洛蒂"
 tot_Jansson_Lotte_trait: ""
 tot_Jansson_Lotte_trait_desc: ""

 Sucy: "曼芭芭拉"
 Manbavaran: "苏西"
 tot_Manbavaran_Sucy_trait: ""
 tot_Manbavaran_Sucy_trait_desc: ""

 Diana: "卡文迪什"
 Cavendish: "戴安娜"
 tot_Cavendish_Diana_trait: ""
 tot_Cavendish_Diana_trait_desc: ""

 Amanda: "奥尼尔"
 O_Neill: "阿曼达"
 tot_O_Neill_Amanda_trait: ""
 tot_O_Neill_Amanda_trait_desc: ""

 Constanze: "阿尔布雷希茨贝格"
 Albrechtsberger: "康斯坦策"
 tot_Albrechtsberger_Constanze_trait: ""
 tot_Albrechtsberger_Constanze_trait_desc: ""

 Ursula: "卡里斯蒂斯"
 Callistis: "厄修拉"
 tot_Callistis_Ursula_trait: ""
 tot_Callistis_Ursula_trait_desc: ""

 Wangari: "旺加里"
 Wangari: "旺加里"
 tot_Wangari_Wangari_trait: ""
 tot_Wangari_Wangari_trait_desc: ""

 Kazuma: "佐藤"
 Sato: "和真"
 tot_Sato_Kazuma_trait: ""
 tot_Sato_Kazuma_trait_desc: ""

 Aqua: "水之女神"
 MizuKami: "阿库娅"
 tot_MizuKami_Aqua_trait: ""
 tot_MizuKami_Aqua_trait_desc: ""

 Megumin: "爆裂大法师"
 ExplosionWizard: "惠惠"
 tot_ExplosionWizard_Megumin_trait: ""
 tot_ExplosionWizard_Megumin_trait_desc: ""

 Lalatina_Ford: "达克妮丝"
 Dustiness: "福特·拉拉蒂娜"
 tot_Dustiness_Lalatina_Ford_trait: ""
 tot_Dustiness_Lalatina_Ford_trait_desc: ""

 Lelouch: "vi 布里塔尼亚"
 vi_Britannia: "鲁路修"
 tot_vi_Britannia_Lelouch_trait: ""
 tot_vi_Britannia_Lelouch_trait_desc: ""

 C: "C"
 C: "C"
 tot_C_C_trait: ""
 tot_C_C_trait_desc: ""

 Karen: "红月"
 Kozuki: "卡莲"
 tot_Kozuki_Karen_trait: ""
 tot_Kozuki_Karen_trait_desc: ""

 Nunnally: "vi 布里塔尼亚"
 vi_Britannia: "娜娜莉"
 tot_vi_Britannia_Nunnally_trait: ""
 tot_vi_Britannia_Nunnally_trait_desc: ""

 Suzaku: "枢木"
 Kururugi: "朱雀"
 tot_Kururugi_Suzaku_trait: ""
 tot_Kururugi_Suzaku_trait_desc: ""

 Shirley: "菲内特"
 Fenette: "夏莉"
 tot_Fenette_Shirley_trait: ""
 tot_Fenette_Shirley_trait_desc: ""

 Ema: "樱羽"
 Sakuraba: "艾玛"
 tot_Sakuraba_Ema_trait: ""
 tot_Sakuraba_Ema_trait_desc: ""

 Hiro: "二阶堂"
 Nikaido: "希罗"
 tot_Nikaido_Hiro_trait: ""
 tot_Nikaido_Hiro_trait_desc: ""

 Anan: "夏目"
 Natsume: "安安"
 tot_Natsume_Anan_trait: ""
 tot_Natsume_Anan_trait_desc: ""

 Noa: "城崎"
 Jyogasaki: "诺亚"
 tot_Jyogasaki_Noa_trait: ""
 tot_Jyogasaki_Noa_trait_desc: ""

 Reia: "莲见"
 Hasumi: "蕾雅"
 tot_Hasumi_Reia_trait: ""
 tot_Hasumi_Reia_trait_desc: ""

 Miria: "佐伯"
 Saeki: "米莉亚"
 tot_Saeki_Miria_trait: ""
 tot_Saeki_Miria_trait_desc: ""

 Maagou: "宝生"
 Housho: "玛格"
 tot_Housho_Maagou_trait: ""
 tot_Housho_Maagou_trait_desc: ""

 Nanoka: "黑部"
 Kurobe: "奈叶香"
 tot_Kurobe_Nanoka_trait: ""
 tot_Kurobe_Nanoka_trait_desc: ""

 Arisa: "紫藤"
 Shido: "亚里沙"
 tot_Shido_Arisa_trait: ""
 tot_Shido_Arisa_trait_desc: ""

 Sherii: "橘"
 tachibana: "雪莉"
 tot_tachibana_Sherii_trait: ""
 tot_tachibana_Sherii_trait_desc: ""

 Hanna: "远野"
 toono: "汉娜"
 tot_toono_Hanna_trait: ""
 tot_toono_Hanna_trait_desc: ""

 Koko: "泽渡"
 Sawatari: "可可"
 tot_Sawatari_Koko_trait: ""
 tot_Sawatari_Koko_trait_desc: ""

 Meruru: "冰上"
 Hikami: "梅露露"
 tot_Hikami_Meruru_trait: ""
 tot_Hikami_Meruru_trait_desc: ""

 Yuki: "月代"
 Tsukishiro: "雪"
 tot_Tsukishiro_Yuki_trait: ""
 tot_Tsukishiro_Yuki_trait_desc: ""

 Ayase: "三司"
 Mitsukasa: "绫濑"
 tot_Mitsukasa_Ayase_trait: ""
 tot_Mitsukasa_Ayase_trait_desc: ""

 Nanami: "在原"
 Arihara: "七海"
 tot_Arihara_Nanami_trait: ""
 tot_Arihara_Nanami_trait_desc: ""

 Mayu: "式部"
 Shikibe: "茉优"
 tot_Shikibe_Mayu_trait: ""
 tot_Shikibe_Mayu_trait_desc: ""

 Hazuki: "二条院"
 Nijoin: "羽月"
 tot_Nijoin_Hazuki_trait: ""
 tot_Nijoin_Hazuki_trait_desc: ""

