"full_name","first_name","last_name","occurrences","sources"
"Megumin ExplosionWizard","Megumin","ExplosionWizard","5","common/history/characters/demo_characters.null:3029; common/history/characters/demo_characters.null:6390; common/history/characters/demo_characters.null:9780; common/history/characters/demo_characters.null:11635; common/history/characters/demo_characters.null:13493"
"Meruru Hikami","Meruru","Hikami","5","common/history/characters/demo_characters.null:3284; common/history/characters/demo_characters.null:6645; common/history/characters/demo_characters.null:10055; common/history/characters/demo_characters.null:11890; common/history/characters/demo_characters.null:13768"
"Miho Nishizumi","Miho","Nishizumi","3","common/history/characters/demo_characters.null:708; common/history/characters/demo_characters.null:4069; common/history/characters/demo_characters.null:7430"
"Mikoto Misaka","Mikoto","Misaka",,"common/history/characters/reserve.null:244"
"Mills Andrew_Gilbert","Mills","Andrew_Gilbert","5","common/history/characters/demo_characters.null:2021; common/history/characters/demo_characters.null:5382; common/history/characters/demo_characters.null:8743; common/history/characters/demo_characters.null:10627; common/history/characters/demo_characters.null:12456"
"Minamo Kamishiro"," Minamo","Kamishiro","5","common/history/characters/demo_characters.null:2607; common/history/characters/demo_characters.null:5968; common/history/characters/demo_characters.null:9329; common/history/characters/demo_characters.null:11213; common/history/characters/demo_characters.null:13042"
"Minato Aqua","Minato","Aqua",,"common/history/characters/reserve.null:623"
"Mine Aomori","Mine","Aomori","5","common/history/characters/demo_characters.null:1841; common/history/characters/demo_characters.null:5202; common/history/characters/demo_characters.null:8563; common/history/characters/demo_characters.null:10447; common/history/characters/demo_characters.null:12276"
"Minna Dietlinde_Wilcke","Minna","Dietlinde_Wilcke","5","common/history/characters/demo_characters.null:2543; common/history/characters/demo_characters.null:5904; common/history/characters/demo_characters.null:9265; common/history/characters/demo_characters.null:11149; common/history/characters/demo_characters.null:12978"
"Mio Sakamoto","Mio","Sakamoto","5","common/history/characters/demo_characters.null:2436; common/history/characters/demo_characters.null:5797; common/history/characters/demo_characters.null:9158; common/history/characters/demo_characters.null:11042; common/history/characters/demo_characters.null:12871"
"Miria Saeki","Miria","Saeki","5","common/history/characters/demo_characters.null:3194; common/history/characters/demo_characters.null:6555; common/history/characters/demo_characters.null:9958; common/history/characters/demo_characters.null:11800; common/history/characters/demo_characters.null:13671"
"Mizuki Iberia","Mizuki","Iberia","3","common/history/characters/demo_characters.null:471; common/history/characters/demo_characters.null:3832; common/history/characters/demo_characters.null:7193"
"Mokou Fujiwara","Mokou","Fujiwara","3","common/history/characters/demo_characters.null:608; common/history/characters/demo_characters.null:3969; common/history/characters/demo_characters.null:7330"
"Momoka Hanyuu","Momoka","Hanyuu","3","common/history/characters/demo_characters.null:538; common/history/characters/demo_characters.null:3899; common/history/characters/demo_characters.null:7260"
"Motion Fine","Motion","Fine","3","common/history/characters/demo_characters.null:847; common/history/characters/demo_characters.null:4208; common/history/characters/demo_characters.null:7569"
"Muelsyse Sami","Muelsyse","Sami","3","common/history/characters/demo_characters.null:1057; common/history/characters/demo_characters.null:4418; common/history/characters/demo_characters.null:7779"
"Murasame Reine","Murasame","Reine",,"common/history/characters/reserve.null:1110"
"Mutsuki Asagi","Mutsuki","Asagi","3","common/history/characters/demo_characters.null:1169; common/history/characters/demo_characters.null:4530; common/history/characters/demo_characters.null:7891"
"Myth Miku","Myth","Miku",,"common/history/characters/reserve.null:731"
"NaN Diavolo","NaN","Diavolo",,"common/history/characters/reserve.null:1277"
"Nana Daiba","Nana","Daiba","5","common/history/characters/demo_characters.null:2724; common/history/characters/demo_characters.null:6085; common/history/characters/demo_characters.null:9451; common/history/characters/demo_characters.null:11330; common/history/characters/demo_characters.null:13164"
"Nana Ebina","Nana","Ebina","3","common/history/characters/demo_characters.null:1491; common/history/characters/demo_characters.null:4852; common/history/characters/demo_characters.null:8213"
"Nanami Arihara","Nanami","Arihara","5","common/history/characters/demo_characters.null:3323; common/history/characters/demo_characters.null:6684; common/history/characters/demo_characters.null:10097; common/history/characters/demo_characters.null:11929; common/history/characters/demo_characters.null:13810"
"Nanami Hiromachi","Nanami","Hiromachi","5","common/history/characters/demo_characters.null:2366; common/history/characters/demo_characters.null:5727; common/history/characters/demo_characters.null:9088; common/history/characters/demo_characters.null:10972; common/history/characters/demo_characters.null:12801"
"Nanoka Kurobe","Nanoka","Kurobe","5","common/history/characters/demo_characters.null:3220; common/history/characters/demo_characters.null:6581; common/history/characters/demo_characters.null:9986; common/history/characters/demo_characters.null:11826; common/history/characters/demo_characters.null:13699"
"Nasary Erde","Nasary","Erde",,"common/history/characters/reserve.null:638"
"Natsuki Ikaruga","Natsuki","Ikaruga","5","common/history/characters/demo_characters.null:2582; common/history/characters/demo_characters.null:5943; common/history/characters/demo_characters.null:9304; common/history/characters/demo_characters.null:11188; common/history/characters/demo_characters.null:13017"
"Nene Sakura","Nene","Sakura","5","common/history/characters/demo_characters.null:2850; common/history/characters/demo_characters.null:6211; common/history/characters/demo_characters.null:9587; common/history/characters/demo_characters.null:11456; common/history/characters/demo_characters.null:13300"
"NewBabel NewBabel","NewBabel","NewBabel","3","common/history/characters/demo_characters.null:273; common/history/characters/demo_characters.null:3634; common/history/characters/demo_characters.null:6995"
"Nijika Ijichi","Nijika","Ijichi","3","common/history/characters/demo_characters.null:1225; common/history/characters/demo_characters.null:4586; common/history/characters/demo_characters.null:7947"
"Nishikigi Chisato","Nishikigi","Chisato",,"common/history/characters/reserve.null:454"
"Noa Jyogasaki","Noa","Jyogasaki","5","common/history/characters/demo_characters.null:3168; common/history/characters/demo_characters.null:6529; common/history/characters/demo_characters.null:9930; common/history/characters/demo_characters.null:11774; common/history/characters/demo_characters.null:13643"
"Nonomi Izayoi","Nonomi","Izayoi","3","common/history/characters/demo_characters.null:1127; common/history/characters/demo_characters.null:4488; common/history/characters/demo_characters.null:7849"
"Nunnally vi_Britannia","Nunnally","vi_Britannia","5","common/history/characters/demo_characters.null:3091; common/history/characters/demo_characters.null:6452; common/history/characters/demo_characters.null:9847; common/history/characters/demo_characters.null:11697; common/history/characters/demo_characters.null:13560"
"Onstein illya","Onstein","illya",,"common/history/characters/reserve.null:866"
"Pannacotta Fugo","Pannacotta","Fugo",,"common/history/characters/reserve.null:1361"
"Parla Luft","Parla","Luft",,"common/history/characters/reserve.null:683"
"Pendragon Altria","Pendragon","Altria",,"common/history/characters/reserve.null:203"
"Pendragon Mordred","Pendragon","Mordred",,"common/history/characters/reserve.null:224"
"Perrine H_Clostermann","Perrine","H_Clostermann","5","common/history/characters/demo_characters.null:2463; common/history/characters/demo_characters.null:5824; common/history/characters/demo_characters.null:9185; common/history/characters/demo_characters.null:11069; common/history/characters/demo_characters.null:12898"
"Rabbit Miku","Rabbit","Miku",,"common/history/characters/reserve.null:791"
"Ray Sami","Ray","Sami","3","common/history/characters/demo_characters.null:973; common/history/characters/demo_characters.null:4334; common/history/characters/demo_characters.null:7695"
"Reform Miku","Reform","Miku",,"common/history/characters/reserve.null:761"
"Regulus Regulus","Regulus","Regulus","3","common/history/characters/demo_characters.null:29; common/history/characters/demo_characters.null:3390; common/history/characters/demo_characters.null:6751"
"Rei Wakana","Rei","Wakana","5","common/history/characters/demo_characters.null:2284; common/history/characters/demo_characters.null:5645; common/history/characters/demo_characters.null:9006; common/history/characters/demo_characters.null:10890; common/history/characters/demo_characters.null:12719"
"Reia Hasumi","Reia","Hasumi","5","common/history/characters/demo_characters.null:3181; common/history/characters/demo_characters.null:6542; common/history/characters/demo_characters.null:9944; common/history/characters/demo_characters.null:11787; common/history/characters/demo_characters.null:13657"
"Reisen Udongein_Inaba","Reisen","Udongein_Inaba","3","common/history/characters/demo_characters.null:658; common/history/characters/demo_characters.null:4019; common/history/characters/demo_characters.null:7380"
"Remon Yakishio","Remon","Yakishio","3","common/history/characters/demo_characters.null:1337; common/history/characters/demo_characters.null:4698; common/history/characters/demo_characters.null:8059"
"Renkawa Cherino","Renkawa","Cherino",,"common/history/characters/reserve.null:897"
"Renta Tsuji","Renta","Tsuji","3","common/history/characters/demo_characters.null:778; common/history/characters/demo_characters.null:4139; common/history/characters/demo_characters.null:7500"
"Reona Nyubara","Reona","Nyubara","5","common/history/characters/demo_characters.null:2312; common/history/characters/demo_characters.null:5673; common/history/characters/demo_characters.null:9034; common/history/characters/demo_characters.null:10918; common/history/characters/demo_characters.null:12747"
"Rika Shinozaki","Rika","Shinozaki","5","common/history/characters/demo_characters.null:1951; common/history/characters/demo_characters.null:5312; common/history/characters/demo_characters.null:8673; common/history/characters/demo_characters.null:10557; common/history/characters/demo_characters.null:12386"
"Riko Sakurauchi","Riko","Sakurauchi ","5","common/history/characters/demo_characters.null:1547; common/history/characters/demo_characters.null:4908; common/history/characters/demo_characters.null:8269; common/history/characters/demo_characters.null:10153; common/history/characters/demo_characters.null:11982"
"Rin Toyama","Rin","Toyama","5","common/history/characters/demo_characters.null:2800; common/history/characters/demo_characters.null:6161; common/history/characters/demo_characters.null:9533; common/history/characters/demo_characters.null:11406; common/history/characters/demo_characters.null:13246"
"Rina Tennoji","Rina","Tennoji","5","common/history/characters/demo_characters.null:1785; common/history/characters/demo_characters.null:5146; common/history/characters/demo_characters.null:8507; common/history/characters/demo_characters.null:10391; common/history/characters/demo_characters.null:12220"
"Rinko Shirokane","Rinko","Shirokane","5","common/history/characters/demo_characters.null:2256; common/history/characters/demo_characters.null:5617; common/history/characters/demo_characters.null:8978; common/history/characters/demo_characters.null:10862; common/history/characters/demo_characters.null:12691"
"Ririka Nanami","Ririka","Nanami","5","common/history/characters/demo_characters.null:2647; common/history/characters/demo_characters.null:6008; common/history/characters/demo_characters.null:9369; common/history/characters/demo_characters.null:11253; common/history/characters/demo_characters.null:13082"
"Ritostan Anne","Ritostan","Anne",,"common/history/characters/reserve.null:472"
"Rokka Asahi","Rokka","Asahi","5","common/history/characters/demo_characters.null:2326; common/history/characters/demo_characters.null:5687; common/history/characters/demo_characters.null:9048; common/history/characters/demo_characters.null:10932; common/history/characters/demo_characters.null:12761"
"Rubi Kurosawa","Rubi","Kurosawa ","5","common/history/characters/demo_characters.null:1603; common/history/characters/demo_characters.null:4964; common/history/characters/demo_characters.null:8325; common/history/characters/demo_characters.null:10209; common/history/characters/demo_characters.null:12038"
"Rudolf Symboli","Rudolf","Symboli","3","common/history/characters/demo_characters.null:819; common/history/characters/demo_characters.null:4180; common/history/characters/demo_characters.null:7541"
"Rui Yashio","Rui","Yashio","5","common/history/characters/demo_characters.null:2394; common/history/characters/demo_characters.null:5755; common/history/characters/demo_characters.null:9116; common/history/characters/demo_characters.null:11000; common/history/characters/demo_characters.null:12829"
"Ruri Gokou","Ruri","Gokou","3","common/history/characters/demo_characters.null:1505; common/history/characters/demo_characters.null:4866; common/history/characters/demo_characters.null:8227"
"Ruru Riora","Ruru","Riora",,"common/history/characters/reserve.null:487"
"Ryo Yamada","Ryo","Yamada","3","common/history/characters/demo_characters.null:1239; common/history/characters/demo_characters.null:4600; common/history/characters/demo_characters.null:7961"
"ryotaro Tsuboi","ryotaro","Tsuboi","5","common/history/characters/demo_characters.null:1965; common/history/characters/demo_characters.null:5326; common/history/characters/demo_characters.null:8687; common/history/characters/demo_characters.null:10571; common/history/characters/demo_characters.null:12400"
"Ryouji Nojima","Ryouji","Nojima","5","common/history/characters/demo_characters.null:2621; common/history/characters/demo_characters.null:5982; common/history/characters/demo_characters.null:9343; common/history/characters/demo_characters.null:11227; common/history/characters/demo_characters.null:13056"
"Sagiri Izumi","Sagiri","Izumi","3","common/history/characters/demo_characters.null:1449; common/history/characters/demo_characters.null:4810; common/history/characters/demo_characters.null:8171"
"Saikawa Sanae","Saikawa","Sanae",,"common/history/characters/reserve.null:517"
"Saki Nikaido","Saki","Nikaido","5","common/history/characters/demo_characters.null:2061; common/history/characters/demo_characters.null:5422; common/history/characters/demo_characters.null:8783; common/history/characters/demo_characters.null:10667; common/history/characters/demo_characters.null:12496"
"Sakura Miku","Sakura","Miku",,"common/history/characters/reserve.null:821"
"Sakura Minamoto","Sakura","Minamoto","5","common/history/characters/demo_characters.null:2047; common/history/characters/demo_characters.null:5408; common/history/characters/demo_characters.null:8769; common/history/characters/demo_characters.null:10653; common/history/characters/demo_characters.null:12482"
"Sakurako Utazumi","Sakurako","Utazumi","5","common/history/characters/demo_characters.null:1883; common/history/characters/demo_characters.null:5244; common/history/characters/demo_characters.null:8605; common/history/characters/demo_characters.null:10489; common/history/characters/demo_characters.null:12318"
"Sakuranomiya Maika","Sakuranomiya","Maika",,"common/history/characters/reserve.null:439"
"Santalla Sami","Santalla","Sami","3","common/history/characters/demo_characters.null:1015; common/history/characters/demo_characters.null:4376; common/history/characters/demo_characters.null:7737"
"Sanya V_Litvyak","Sanya","V_Litvyak","5","common/history/characters/demo_characters.null:2516; common/history/characters/demo_characters.null:5877; common/history/characters/demo_characters.null:9238; common/history/characters/demo_characters.null:11122; common/history/characters/demo_characters.null:12951"
"Saori Takebe","Saori","Takebe","3","common/history/characters/demo_characters.null:722; common/history/characters/demo_characters.null:4083; common/history/characters/demo_characters.null:7444"
"Sarah Kazuno","Sarah","Kazuno ","5","common/history/characters/demo_characters.null:1659; common/history/characters/demo_characters.null:5020; common/history/characters/demo_characters.null:8381; common/history/characters/demo_characters.null:10265; common/history/characters/demo_characters.null:12094"
"Sayo Hikawa","Sayo","Hikawa","5","common/history/characters/demo_characters.null:2243; common/history/characters/demo_characters.null:5604; common/history/characters/demo_characters.null:8965; common/history/characters/demo_characters.null:10849; common/history/characters/demo_characters.null:12678"
"Sea Miku","Sea","Miku",,"common/history/characters/reserve.null:806"
"Seika Ijichi","Seika","Ijichi","3","common/history/characters/demo_characters.null:1267; common/history/characters/demo_characters.null:4628; common/history/characters/demo_characters.null:7989"
"Semmelweis Semmelweis","Semmelweis","Semmelweis","3","common/history/characters/demo_characters.null:154; common/history/characters/demo_characters.null:3515; common/history/characters/demo_characters.null:6876"
"Sentinel Sentinel","Sentinel","Sentinel","3","common/history/characters/demo_characters.null:99; common/history/characters/demo_characters.null:3460; common/history/characters/demo_characters.null:6821"
"Serika Kuromi","Serika","Kuromi","3","common/history/characters/demo_characters.null:1113; common/history/characters/demo_characters.null:4474; common/history/characters/demo_characters.null:7835"
"Serina Sumi","Serina","Sumi","5","common/history/characters/demo_characters.null:1813; common/history/characters/demo_characters.null:5174; common/history/characters/demo_characters.null:8535; common/history/characters/demo_characters.null:10419; common/history/characters/demo_characters.null:12248"
"Setsuna Yuki","Setsuna","Yuki","5","common/history/characters/demo_characters.null:1687; common/history/characters/demo_characters.null:5048; common/history/characters/demo_characters.null:8409; common/history/characters/demo_characters.null:10293; common/history/characters/demo_characters.null:12122"
"Shameimaru Aya","Shameimaru","Aya",,"common/history/characters/reserve.null:1217"
"Sherii tachibana","Sherii","tachibana","5","common/history/characters/demo_characters.null:3246; common/history/characters/demo_characters.null:6607; common/history/characters/demo_characters.null:10014; common/history/characters/demo_characters.null:11852; common/history/characters/demo_characters.null:13727"
"Shino Asada","Shino","Asada","5","common/history/characters/demo_characters.null:2007; common/history/characters/demo_characters.null:5368; common/history/characters/demo_characters.null:8729; common/history/characters/demo_characters.null:10613; common/history/characters/demo_characters.null:12442"
"Shirai Index","Shirai","Index","8","common/history/characters/reserve.null:274; common/history/characters/reserve.null:289; common/history/characters/reserve.null:304; common/history/characters/reserve.null:319; common/history/characters/reserve.null:334; common/history/characters/reserve.null:349; common/history/characters/reserve.null:364; common/history/characters/reserve.null:379"
"Shirley Fenette","Shirley","Fenette","5","common/history/characters/demo_characters.null:3116; common/history/characters/demo_characters.null:6477; common/history/characters/demo_characters.null:9874; common/history/characters/demo_characters.null:11722; common/history/characters/demo_characters.null:13587"
"Shiro Eliza","Shiro","Eliza","3","common/history/characters/demo_characters.null:1463; common/history/characters/demo_characters.null:4824; common/history/characters/demo_characters.null:8185"
"Shiroko Sunaokami","Shiroko","Sunaokami","3","common/history/characters/demo_characters.null:1071; common/history/characters/demo_characters.null:4432; common/history/characters/demo_characters.null:7793"
"Shirou Emiya","Shirou","Emiya",,"common/history/characters/reserve.null:143"
"Shizuka Hattori","Shizuka","Hattori","5","common/history/characters/demo_characters.null:2503; common/history/characters/demo_characters.null:5864; common/history/characters/demo_characters.null:9225; common/history/characters/demo_characters.null:11109; common/history/characters/demo_characters.null:12938"
"Shizuku Hazuki","Shizuku","Hazuki","5","common/history/characters/demo_characters.null:2876; common/history/characters/demo_characters.null:6237; common/history/characters/demo_characters.null:9615; common/history/characters/demo_characters.null:11482; common/history/characters/demo_characters.null:13328"
"Shizuku Osaka","Shizuku","Osaka","5","common/history/characters/demo_characters.null:1757; common/history/characters/demo_characters.null:5118; common/history/characters/demo_characters.null:8479; common/history/characters/demo_characters.null:10363; common/history/characters/demo_characters.null:12192"
"Shuttle Taiki","Shuttle","Taiki","3","common/history/characters/demo_characters.null:889; common/history/characters/demo_characters.null:4250; common/history/characters/demo_characters.null:7611"
"Skadi Iberia","Skadi","Iberia","3","common/history/characters/demo_characters.null:403; common/history/characters/demo_characters.null:3764; common/history/characters/demo_characters.null:7125"
"Snow Miku","Snow","Miku",,"common/history/characters/reserve.null:716"
"Sonetto Sonetto","Sonetto","Sonetto","3","common/history/characters/demo_characters.null:15; common/history/characters/demo_characters.null:3376; common/history/characters/demo_characters.null:6737"
"Sora Kasugano","Sora","Kasugano","3","common/history/characters/demo_characters.null:1421; common/history/characters/demo_characters.null:4782; common/history/characters/demo_characters.null:8143"
"Sora Rhodes","Sora","Rhodes","3","common/history/characters/demo_characters.null:580; common/history/characters/demo_characters.null:3941; common/history/characters/demo_characters.null:7302"
"Specter Iberia","Specter","Iberia","3","common/history/characters/demo_characters.null:390; common/history/characters/demo_characters.null:3751; common/history/characters/demo_characters.null:7112"
"Sucy Manbavaran","Sucy","Manbavaran","5","common/history/characters/demo_characters.null:2927; common/history/characters/demo_characters.null:6288; common/history/characters/demo_characters.null:9670; common/history/characters/demo_characters.null:11533; common/history/characters/demo_characters.null:13383"
"Suguha Kirigaya","Suguha","Kirigaya","5","common/history/characters/demo_characters.null:1979; common/history/characters/demo_characters.null:5340; common/history/characters/demo_characters.null:8701; common/history/characters/demo_characters.null:10585; common/history/characters/demo_characters.null:12414"
"Sumireko Usami","Sumireko","Usami","3","common/history/characters/demo_characters.null:696; common/history/characters/demo_characters.null:4057; common/history/characters/demo_characters.null:7418"
"Surtr Sami","Surtr","Sami","3","common/history/characters/demo_characters.null:1043; common/history/characters/demo_characters.null:4404; common/history/characters/demo_characters.null:7765"
"Suzaku Kururugi","Suzaku","Kururugi","5","common/history/characters/demo_characters.null:3104; common/history/characters/demo_characters.null:6465; common/history/characters/demo_characters.null:9861; common/history/characters/demo_characters.null:11710; common/history/characters/demo_characters.null:13574"
"Tachyon Agnes","Tachyon","Agnes","3","common/history/characters/demo_characters.null:875; common/history/characters/demo_characters.null:4236; common/history/characters/demo_characters.null:7597"
"Tae Yamada","Tae","Yamada","5","common/history/characters/demo_characters.null:2131; common/history/characters/demo_characters.null:5492; common/history/characters/demo_characters.null:8853; common/history/characters/demo_characters.null:10737; common/history/characters/demo_characters.null:12566"
"Tannhauser Matikane","Tannhauser","Matikane","3","common/history/characters/demo_characters.null:917; common/history/characters/demo_characters.null:4278; common/history/characters/demo_characters.null:7639"
"Teio Tokai","Teio","Tokai","3","common/history/characters/demo_characters.null:833; common/history/characters/demo_characters.null:4194; common/history/characters/demo_characters.null:7555"
"The_Ripper Jack","The_Ripper","Jack",,"common/history/characters/reserve.null:882"
"Thirty_seven Thirty_seven","Thirty_seven","Thirty_seven","3","common/history/characters/demo_characters.null:182; common/history/characters/demo_characters.null:3543; common/history/characters/demo_characters.null:6904"
"Tillroo Flamme","Tillroo","Flamme",,"common/history/characters/reserve.null:668"
"Tobiichi Origami","Tobiichi","Origami",,"common/history/characters/reserve.null:914"
"Tohsaka Rin","Tohsaka","Rin",,"common/history/characters/reserve.null:104"
"Tohsaka Tokiomi","Tohsaka","Tokiomi",,"common/history/characters/reserve.null:82"
"Tokisaki Kurumi","Tokisaki","Kurumi",,"common/history/characters/reserve.null:951"
"Toko Kirigaya","Toko","Kirigaya","5","common/history/characters/demo_characters.null:2408; common/history/characters/demo_characters.null:5769; common/history/characters/demo_characters.null:9130; common/history/characters/demo_characters.null:11014; common/history/characters/demo_characters.null:12843"
"Tsukushi Futaba","Tsukushi","Futaba","5","common/history/characters/demo_characters.null:2380; common/history/characters/demo_characters.null:5741; common/history/characters/demo_characters.null:9102; common/history/characters/demo_characters.null:10986; common/history/characters/demo_characters.null:12815"
"Typhon Sami","Typhon","Sami","3","common/history/characters/demo_characters.null:959; common/history/characters/demo_characters.null:4320; common/history/characters/demo_characters.null:7681"
"Ulpianus Iberia","Ulpianus","Iberia","3","common/history/characters/demo_characters.null:458; common/history/characters/demo_characters.null:3819; common/history/characters/demo_characters.null:7180"
"Umaru Doma","Umaru","Doma","3","common/history/characters/demo_characters.null:1477; common/history/characters/demo_characters.null:4838; common/history/characters/demo_characters.null:8199"
"Umiko Ahagon","Umiko","Ahagon","5","common/history/characters/demo_characters.null:2863; common/history/characters/demo_characters.null:6224; common/history/characters/demo_characters.null:9601; common/history/characters/demo_characters.null:11469; common/history/characters/demo_characters.null:13314"
"Una Trish","Una","Trish",,"common/history/characters/reserve.null:1375"
"Urika Rhodes","Urika","Rhodes","3","common/history/characters/demo_characters.null:552; common/history/characters/demo_characters.null:3913; common/history/characters/demo_characters.null:7274"
"Ursula Callistis","Ursula","Callistis","5","common/history/characters/demo_characters.null:2979; common/history/characters/demo_characters.null:6340; common/history/characters/demo_characters.null:9726; common/history/characters/demo_characters.null:11585; common/history/characters/demo_characters.null:13439"
"Valarqvin Sami","Valarqvin","Sami","3","common/history/characters/demo_characters.null:987; common/history/characters/demo_characters.null:4348; common/history/characters/demo_characters.null:7709"
"Velvet Waver","Velvet","Waver",,"common/history/characters/reserve.null:185"
"Verde Emma","Verde","Emma","5","common/history/characters/demo_characters.null:1715; common/history/characters/demo_characters.null:5076; common/history/characters/demo_characters.null:8437; common/history/characters/demo_characters.null:10321; common/history/characters/demo_characters.null:12150"
"Vertin Timekeeper","Vertin","Timekeeper","3","common/history/characters/demo_characters.null:1; common/history/characters/demo_characters.null:3362; common/history/characters/demo_characters.null:6723"
"Vigna Rhodes","Vigna","Rhodes","3","common/history/characters/demo_characters.null:594; common/history/characters/demo_characters.null:3955; common/history/characters/demo_characters.null:7316"
"Vila Vila","Vila","Vila","3","common/history/characters/demo_characters.null:85; common/history/characters/demo_characters.null:3446; common/history/characters/demo_characters.null:6807"
"Walnut Kurumi","Walnut","Kurumi",,"common/history/characters/reserve.null:547"
"Wangari Wangari","Wangari","Wangari","5","common/history/characters/demo_characters.null:2992; common/history/characters/demo_characters.null:6353; common/history/characters/demo_characters.null:9740; common/history/characters/demo_characters.null:11598; common/history/characters/demo_characters.null:13453"
"Week Special","Week","Special","3","common/history/characters/demo_characters.null:945; common/history/characters/demo_characters.null:4306; common/history/characters/demo_characters.null:7667"
"X X","X","X","3","common/history/characters/demo_characters.null:248; common/history/characters/demo_characters.null:3609; common/history/characters/demo_characters.null:6970"
"Yakumo Yukari","Yakumo","Yukari",,"common/history/characters/reserve.null:1142"
"Yamai Kaguya","Yamai","Kaguya",,"common/history/characters/reserve.null:1043"
"Yamai Yuzuru","Yamai","Yuzuru",,"common/history/characters/reserve.null:1060"
"Yatogami Toka","Yatogami","Toka",,"common/history/characters/reserve.null:1093"
"Yorigami Jyoon","Yorigami","Jyoon",,"common/history/characters/reserve.null:1202"
"Yoshika Miyafuji","Yoshika","Miyafuji","5","common/history/characters/demo_characters.null:2422; common/history/characters/demo_characters.null:5783; common/history/characters/demo_characters.null:9144; common/history/characters/demo_characters.null:11028; common/history/characters/demo_characters.null:12857"
"Yoshiko Tsushima","Yoshiko","Tsushima ","5","common/history/characters/demo_characters.null:1589; common/history/characters/demo_characters.null:4950; common/history/characters/demo_characters.null:8311; common/history/characters/demo_characters.null:10195; common/history/characters/demo_characters.null:12024"
"You Watanabe","You","Watanabe ","5","common/history/characters/demo_characters.null:1575; common/history/characters/demo_characters.null:4936; common/history/characters/demo_characters.null:8297; common/history/characters/demo_characters.null:10181; common/history/characters/demo_characters.null:12010"
"Yu Takasaki"," Yu","Takasaki","5","common/history/characters/demo_characters.null:1799; common/history/characters/demo_characters.null:5160; common/history/characters/demo_characters.null:8521; common/history/characters/demo_characters.null:10405; common/history/characters/demo_characters.null:12234"
"Yui MHCP","Yui","MHCP","5","common/history/characters/demo_characters.null:1937; common/history/characters/demo_characters.null:5298; common/history/characters/demo_characters.null:8659; common/history/characters/demo_characters.null:10543; common/history/characters/demo_characters.null:12372"
"YuKari Akiyama","YuKari","Akiyama","3","common/history/characters/demo_characters.null:764; common/history/characters/demo_characters.null:4125; common/history/characters/demo_characters.null:7486"
"Yuki Suo","Yuki","Suo","3","common/history/characters/demo_characters.null:1309; common/history/characters/demo_characters.null:4670; common/history/characters/demo_characters.null:8031"
"Yuki Tsukishiro","Yuki","Tsukishiro","5","common/history/characters/demo_characters.null:3297; common/history/characters/demo_characters.null:6658; common/history/characters/demo_characters.null:10069; common/history/characters/demo_characters.null:11903; common/history/characters/demo_characters.null:13782"
"Yukina Minato","Yukina","Minato","5","common/history/characters/demo_characters.null:2215; common/history/characters/demo_characters.null:5576; common/history/characters/demo_characters.null:8937; common/history/characters/demo_characters.null:10821; common/history/characters/demo_characters.null:12650"
"Yumeko Shikiya","Yumeko","Shikiya","3","common/history/characters/demo_characters.null:1407; common/history/characters/demo_characters.null:4768; common/history/characters/demo_characters.null:8129"
"Yun Iizima","Yun","Iizima","5","common/history/characters/demo_characters.null:2838; common/history/characters/demo_characters.null:6199; common/history/characters/demo_characters.null:9574; common/history/characters/demo_characters.null:11444; common/history/characters/demo_characters.null:13287"
"Yuzu Koyama","Yuzu","Koyama","3","common/history/characters/demo_characters.null:805; common/history/characters/demo_characters.null:4166; common/history/characters/demo_characters.null:7527"
"Zuberg Alice","Zuberg","Alice","5","common/history/characters/demo_characters.null:1993; common/history/characters/demo_characters.null:5354; common/history/characters/demo_characters.null:8715; common/history/characters/demo_characters.null:10599; common/history/characters/demo_characters.null:12428"
